duration,intensity_
30,1.6875314481169301
6,3.087795091263373
14,1.4143206039732803
15,1.3223287831689081
15,2.6307432919895035
20,2.1830265580994217
33,2.2274198893882584
5,1.4163773211063906
15,1.6398340290278837
8,3.2105257897119586
5,1.9738737419769024
13,2.227485603001778
7,1.8022339044007012
14,2.4392185447197967
15,1.7887848695065438
7,2.3261425643049574
6,1.8064082876632988
7,1.8480359201593428
6,1.3850179720009654
5,1.1826168126975367
5,1.2974213980375287
5,2.3150520714810705
8,2.20103696066864
5,2.458735995368319
10,2.4571296273429866
5,1.8188817835058462
5,1.5850520524075806
5,1.5392003588966805
35,2.8944745575434556
19,2.0071298180777877
8,2.2781297758437784
36,3.637821657387459
5,1.7326631647848636
7,1.5058814586127722
13,3.515017893002563
9,1.9991812195058358
27,2.908684769109886
17,1.6509184865667113
27,2.1334533262767756
5,1.617001990311417
21,2.086262179201767
5,1.6358815730536822
8,2.4248980380814835
5,1.8932005494095847
7,1.2794217270239407
15,2.848914340327756
5,1.467012257672419
5,1.7335592288255448
5,1.7917138950942153
9,2.393141927445946
15,1.9732616203200442
8,1.9627301925133933
7,2.632637993842464
5,1.5936516681751076
5,1.5890036135547128
11,1.9965974822941828
7,2.685565470250795
8,2.6483570827166076
9,1.284398217946661
6,1.681017366690119
6,1.2577895358887252
6,2.0494503004137368
9,1.7644311548292233
21,4.063651935203907
12,3.1202042992199654
6,1.3370121432315205
5,1.1568367409342146
6,1.9808706245849912
5,2.1978211233298595
15,2.765596470014213
5,1.6017345197846335
98,2.4584540555831906
58,4.654539441191099
147,4.2740865485526385
98,2.627485221532078
12,1.5629849743014828
26,2.7080400004065304
15,2.190742757931904
21,2.8674248429615083
8,2.204086853728338
5,3.0305370235722418
11,2.1814780686706765
22,1.7009286392280973
17,2.1189859826113526
6,2.665508910456694
5,1.7770708732940115
7,1.9116169539902437
6,2.0081065295020277
73,3.1653416783695913
17,2.2571173097140598
43,2.5499255811360806
51,3.78503474512263
14,2.2098239629338465
26,1.8117072365859723
28,2.920895162494853
64,2.2213999880275392
11,2.221482044691893
5,1.7894219559057705
39,3.555017854855663
18,3.9891809906240354
11,2.658881936093744
24,4.309762613801459
28,2.8789854429746438
11,1.765186817522837
9,1.4665098832472445
